iter	Passed	Remaining
1113	338415	572936
1114	338691	572586
1115	338960	572224
1116	339232	571866
1117	339515	571527
1118	339785	571166
1119	340052	570802
1120	340339	570471
1121	340611	570114
1122	340906	569795
1123	341169	569424
1124	341430	569050
1125	341707	568703
1126	341968	568328
1127	342235	567964
1128	342509	567612
1129	342780	567255
1130	343045	566890
1131	343314	566530
1132	343580	566165
1133	343861	565824
1134	344120	565448
1135	344389	565089
1136	344655	564725
1137	344917	564355
1138	345181	563988
1139	345463	563650
1140	345724	563279
1141	345991	562917
1142	346255	562551
1143	346551	562237
1144	346817	561874
1145	347079	561505
1146	347343	561139
1147	347626	560805
1148	347892	560442
1149	348164	560090
1150	348435	559736
1151	348704	559380
1152	348961	559004
1153	349226	558641
1154	349491	558278
1155	349771	557940
1156	350034	557575
1157	350301	557215
1158	350577	556870
1159	350843	556510
1160	351114	556158
1161	351383	555802
1162	351656	555454
1163	351925	555098
1164	352198	554750
1165	352457	554380
1166	352729	554030
1167	352991	553664
1168	353256	553304
1169	353525	552950
1170	353798	552602
1171	354062	552241
1172	354332	551889
1173	354601	551535
1174	354871	551183
1175	355139	550828
1176	355430	550509
1177	355703	550163
1178	355983	549827
1179	356239	549453
1180	356518	549116
1181	356783	548758
1182	357060	548418
1183	357332	548071
1184	357599	547716
1185	357871	547368
1186	358133	547006
1187	358409	546664
1188	358680	546316
1189	358948	545963
1190	359232	545635
1191	359496	545276
1192	359770	544933
1193	360030	544568
1194	360300	544218
1195	360571	543872
1196	360849	543534
1197	361103	543162
1198	361379	542823
1199	361682	542523
1200	361971	542203
1201	362238	541851
1202	362515	541512
1203	362788	541169
1204	363047	540805
1205	363450	540655
1206	363824	540462
1207	364087	540103
1208	364352	539747
1209	364624	539402
1210	364879	539033
1211	365143	538676
1212	365416	538334
1213	365683	537982
1214	365943	537620
1215	366207	537265
1216	366478	536919
1217	366745	536567
1218	367006	536209
1219	367280	535867
1220	367548	535518
1221	367812	535163
1222	368085	534822
1223	368345	534461
1224	368614	534114
1225	368875	533756
1226	369147	533413
1227	369413	533062
1228	369679	532711
1229	369942	532355
1230	370213	532013
1231	370473	531653
1232	370738	531301
1233	370986	530925
1234	371280	530615
1235	371544	530262
1236	371806	529907
1237	372078	529565
1238	372340	529210
1239	372609	528864
1240	372867	528503
1241	373129	528149
1242	373398	527804
1243	373667	527459
1244	373928	527103
1245	374200	526763
1246	374474	526426
1247	374737	526073
1248	375004	525727
1249	375268	525375
1250	375551	525051
1251	375813	524697
1252	376081	524353
1253	376366	524031
1254	376644	523701
1255	376904	523345
1256	377156	522978
1257	377423	522632
1258	377697	522296
1259	377967	521954
1260	378229	521603
1261	378514	521282
1262	378773	520926
1263	379048	520592
1264	379322	520256
1265	379592	519915
1266	379860	519572
1267	380129	519231
1268	380394	518883
1269	380660	518537
1270	380923	518188
1271	381184	517835
1272	381447	517486
1273	381705	517130
1274	381980	516796
1275	382251	516458
1276	382510	516104
1277	382783	515768
1278	383045	515418
1279	383314	515078
1280	383600	514761
1281	383851	514396
1282	384123	514060
1283	384388	513716
1284	384657	513375
1285	384923	513031
1286	385196	512697
1287	385462	512354
1288	385728	512010
1289	385991	511662
1290	386261	511325
1291	386534	510991
1292	386791	510637
1293	387062	510299
1294	387339	509971
1295	387620	509648
1296	387887	509308
1297	388160	508974
1298	388434	508643
1299	388694	508292
1300	388957	507947
1301	389231	507614
1302	389503	507281
1303	389775	506946
1304	390036	506599
1305	390434	506428
1306	390793	506208
1307	391075	505887
1308	391356	505564
1309	391618	505217
1310	391891	504885
1311	392160	504548
1312	392441	504225
1313	392696	503870
1314	392962	503529
1315	393227	503187
1316	393500	502856
1317	393767	502516
1318	394039	502184
1319	394312	501852
1320	394575	501508
1321	394851	501180
1322	395132	500859
1323	395394	500514
1324	395661	500175
1325	395925	499833
1326	396187	499488
1327	396466	499165
1328	396726	498818
1329	396995	498482
1330	397264	498147
1331	397535	497814
1332	397794	497466
1333	398062	497130
1334	398328	496791
1335	398661	496536
1336	398931	496202
1337	399242	495920
1338	399529	495607
1339	399797	495271
1340	400063	494933
1341	400336	494603
1342	400604	494268
1343	400870	493929
1344	401149	493607
1345	401422	493277
1346	401683	492934
1347	401961	492611
1348	402229	492276
1349	402503	491948
1350	402763	491603
1351	403032	491270
1352	403308	490945
1353	403584	490620
1354	403853	490287
1355	404121	489952
1356	404400	489632
1357	404652	489277
1358	404916	488939
1359	405182	488602
1360	405455	488274
1361	405710	487924
1362	405984	487598
1363	406269	487284
1364	406543	486958
1365	406804	486616
1366	407118	486338
1367	407389	486009
1368	407655	485672
1369	407923	485339
1370	408186	485000
1371	408454	484667
1372	408708	484317
1373	408971	483979
1374	409247	483655
1375	409517	483325
1376	409779	482985
1377	410051	482658
1378	410314	482320
1379	410572	481976
1380	410838	481641
1381	411109	481313
1382	411404	481012
1383	411664	480671
1384	411935	480343
1385	412197	480004
1386	412465	479673
1387	412729	479337
1388	412999	479008
1389	413265	478673
1390	413537	478347
1391	413794	478004
1392	414069	477681
1393	414340	477354
1394	414599	477012
1395	414869	476683
1396	415157	476375
1397	415432	476053
1398	415692	475713
1399	415950	475371
1400	416225	475049
1401	416495	474721
1402	416760	474388
1403	417030	474059
1404	417302	473734
1405	417674	473522
1406	418054	473319
1407	418337	473006
1408	418601	472672
1409	418863	472335
1410	419136	472011
1411	419411	471689
1412	419682	471363
1413	419946	471028
1414	420215	470700
1415	420477	470364
1416	420733	470021
1417	421001	469692
1418	421282	469378
1419	421537	469035
1420	421801	468701
1421	422068	468370
1422	422343	468049
1423	422618	467729
1424	422941	467461
1425	423254	467183
1426	423582	466920
1427	423871	466614
1428	424152	466300
1429	424448	466003
1430	424733	465693
1431	425023	465389
1432	425316	465087
1433	425615	464793
1434	425899	464483
1435	426189	464178
1436	426476	463871
1437	426750	463550
1438	427044	463249
1439	427325	462935
1440	427619	462636
1441	427927	462351
1442	428279	462114
1443	428609	461853
1444	428939	461591
1445	429267	461328
1446	429585	461055
1447	429915	460793
1448	430238	460524
1449	430553	460246
1450	430856	459956
1451	431177	459685
1452	431504	459420
1453	431827	459150
1454	432122	458852
1455	432459	458596
1456	432763	458307
1457	433042	457991
1458	433321	457675
1459	433590	457349
1460	433866	457030
1461	434158	456727
1462	434444	456418
1463	434710	456089
1464	434984	455768
1465	435263	455453
1466	435538	455133
1467	435813	454813
1468	436099	454504
1469	436367	454178
1470	436634	453850
1471	436892	453513
1472	437160	453186
1473	437440	452872
1474	437708	452546
1475	437977	452220
1476	438253	451902
1477	438516	451571
1478	438783	451244
1479	439066	450933
1480	439337	450610
1481	439601	450280
1482	439866	449951
1483	440155	449647
1484	440426	449324
1485	440691	448995
1486	440961	448671
1487	441245	448362
1488	441515	448038
1489	441777	447707
1490	442040	447377
1491	442316	447060
1492	442582	446732
1493	442849	446407
1494	443119	446083
1495	443395	445766
1496	443665	445443
1497	443929	445115
1498	444207	444799
1499	444468	444468
1500	444732	444140
1501	445013	443828
1502	445284	443506
1503	445548	443178
1504	445809	442847
1505	446156	442601
1506	446579	442431
1507	446847	442106
1508	447119	441785
1509	447386	441460
1510	447651	441134
1511	447921	440811
1512	448199	440497
1513	448458	440164
1514	448729	439843
1515	448998	439521
1516	449271	439201
1517	449536	438875
1518	449798	438546
1519	450070	438226
1520	450347	437912
1521	450603	437576
1522	450878	437260
1523	451140	436931
1524	451409	436609
1525	451674	436283
1526	451945	435963
1527	452224	435651
1528	452483	435319
1529	452758	435003
1530	453029	434683
1531	453295	434359
1532	453556	434029
1533	453815	433698
1534	454081	433374
1535	454347	433050
1536	454612	432724
1537	454875	432398
1538	455151	432083
1539	455409	431751
1540	455671	431424
1541	455958	431119
1542	456237	430808
1543	456496	430478
1544	456758	430150
1545	457023	429826
1546	457297	429511
1547	457553	429177
1548	457818	428853
1549	458107	428552
1550	458371	428227
1551	458633	427900
1552	458903	427581
1553	459188	427275
1554	459457	426955
1555	459723	426632
1556	459991	426312
1557	460260	425991
1558	460511	425656
1559	460776	425332
1560	461050	425017
1561	461324	424702
1562	461591	424380
1563	461853	424054
1564	462132	423744
1565	462406	423430
1566	462673	423108
1567	462960	422805
1568	463223	422481
1569	463491	422160
1570	463750	421833
1571	464015	421509
1572	464275	421183
1573	464534	420854
1574	464789	420523
1575	465064	420210
1576	465333	419891
1577	465609	419579
1578	465894	419275
1579	466166	418960
1580	466428	418635
